img,path_origin,Objeto,Classe,n_contorno,Área,Diâmetro,Minor,Centroide_X,Centroide_Y
020.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\020.JPEG,,,1,8420.5000000000,2.000000000000000,0.000000000000000,108.0000,0.5000
020.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\020.JPEG,,,2,2733.0000000000,0.000000000000000,0.000000000000000,14.0000,0.0000
020.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\020.JPEG,,,3,2710.0000000000,0.000000000000000,0.000000000000000,15.0000,0.0000
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\021.JPEG,,,0,68740.5000000000,8.810187694194228,4.132652616073552,238.5000,10.8462
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\021.JPEG,,,1,68025.5000000000,5.376796813410203,2.993305616289287,320.3846,9.8462
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\021.JPEG,,,2,2250.5000000000,3.023715784073818,2.799416848895060,107.0000,0.7143
021.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\021.JPEG,,,3,2241.5000000000,2.309401076758503,1.333333333333333,129.6667,0.3333
022.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\022.JPEG,,,0,275.0000000000,3.265986323710904,0.000000000000000,28.0000,1.0000
022.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\022.JPEG,,,1,248.0000000000,2.828427124746190,0.000000000000000,132.5000,0.5000
022.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\022.JPEG,,,2,213.0000000000,2.309401076758503,1.333333333333333,25.3333,0.6667
022.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\022.JPEG,,,3,144.5000000000,3.236067977499790,1.236067977499790,119.5000,1.0000
028.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\028.JPEG,,,0,13591.0000000000,0.000000000000000,0.000000000000000,519.0000,0.0000
028.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\028.JPEG,,,1,13368.0000000000,5.033222956847167,2.905932629027116,524.3333,1.6667
028.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\028.JPEG,,,2,4519.5000000000,3.098386676965933,1.788854381999832,328.8000,0.4000
028.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\028.JPEG,,,3,4492.5000000000,4.098780306383840,2.993325909419153,371.5000,0.8000
029.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\029.JPEG,,,0,7765.0000000000,3.685706545597304,2.822514422975452,343.5714,0.5714
029.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\029.JPEG,,,1,7658.0000000000,0.000000000000000,0.000000000000000,346.0000,0.0000
029.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\029.JPEG,,,2,2406.0000000000,0.000000000000000,0.000000000000000,14.0000,0.0000
031.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\031.JPEG,,,0,88997.5000000000,6.361505880373266,1.330880510780871,19.6000,2.0000
031.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\031.JPEG,,,1,88971.0000000000,13.004892762193075,1.817282672006166,21.3636,5.0000
031.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\031.JPEG,,,2,15649.5000000000,2.000000000000000,0.000000000000000,3.0000,0.5000
031.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\031.JPEG,,,3,15536.5000000000,2.000000000000000,0.000000000000000,4.0000,0.5000
032.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\032.JPEG,,,0,4427.5000000000,0.000000000000000,0.000000000000000,27.0000,0.0000
032.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\032.JPEG,,,1,4386.5000000000,2.000000000000000,0.000000000000000,28.0000,0.5000
032.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\032.JPEG,,,2,2232.0000000000,4.931840299558417,2.329581777841582,244.5000,1.8750
032.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\032.JPEG,,,3,2025.0000000000,0.000000000000000,0.000000000000000,246.0000,0.0000
041.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\041.JPEG,,,0,13485.0000000000,7.492171587951763,1.987208481702304,506.8571,2.2857
041.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\041.JPEG,,,1,13400.0000000000,8.397088143529549,5.114148092282379,622.8000,3.2800
041.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\041.JPEG,,,2,1289.5000000000,4.714591771718390,1.973594032631102,25.5714,0.5714
043.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\043.JPEG,,,0,71600.0000000000,4.686513147372668,1.906985715600180,347.2000,0.6000
043.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\043.JPEG,,,1,71594.0000000000,4.743365517193277,1.349252967497849,353.2000,1.2000
043.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\043.JPEG,,,2,16249.0000000000,8.591750800516843,3.170108322575035,51.5000,0.9091
044.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\044.JPEG,,,0,15475.0000000000,2.000000000000000,0.000000000000000,121.0000,0.5000
044.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\044.JPEG,,,1,15112.0000000000,10.790069188337236,8.001101187167571,129.1316,2.3158
044.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\044.JPEG,,,2,3291.5000000000,2.000000000000000,0.000000000000000,107.0000,0.5000
044.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\044.JPEG,,,3,3285.5000000000,2.828427124746190,0.000000000000000,111.5000,0.5000
044.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\044.JPEG,,,4,440.5000000000,8.160643395741761,3.269724239040701,76.4706,3.3529
047.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\047.JPEG,,,0,85243.5000000000,2.000000000000000,0.000000000000000,36.5000,0.0000
047.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\047.JPEG,,,1,84713.5000000000,0.000000000000000,0.000000000000000,38.0000,0.0000
047.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\047.JPEG,,,2,13938.0000000000,0.000000000000000,0.000000000000000,229.0000,0.0000
047.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\047.JPEG,,,3,13923.0000000000,0.000000000000000,0.000000000000000,230.0000,0.0000
049.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\049.JPEG,,,0,87850.5000000000,3.265986323710904,1.885618083164127,32.0000,0.3333
049.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\049.JPEG,,,1,87366.5000000000,0.000000000000000,0.000000000000000,32.0000,0.0000
049.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\049.JPEG,,,2,3386.0000000000,2.000000000000000,0.000000000000000,0.0000,0.5000
050.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\050.JPEG,,,0,16030.5000000000,0.000000000000000,0.000000000000000,55.0000,0.0000
050.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\050.JPEG,,,1,15800.5000000000,2.828427124746190,0.000000000000000,55.5000,0.5000
050.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\050.JPEG,,,2,8571.5000000000,0.000000000000000,0.000000000000000,113.0000,0.0000
050.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\050.JPEG,,,3,8174.5000000000,5.033222956847166,2.309401076758503,116.5000,1.0000
052.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\052.JPEG,,,0,9198.5000000000,2.828427124746190,0.000000000000000,95.5000,0.5000
052.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\052.JPEG,,,1,8788.5000000000,8.495670511934229,3.926247481673188,100.0714,1.1429
052.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\052.JPEG,,,2,6774.0000000000,2.000000000000000,2.000000000000000,51.5000,0.5000
055.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\055.JPEG,,,0,47464.5000000000,11.950069552051445,4.756883062107482,132.2778,9.8333
055.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\055.JPEG,,,1,47459.5000000000,2.000000000000000,0.000000000000000,160.5000,5.0000
055.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\055.JPEG,,,2,10753.0000000000,5.258737584977436,4.268749491621899,171.5000,1.7778
055.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\055.JPEG,,,3,10561.0000000000,2.000000000000000,2.000000000000000,179.5000,0.5000
056.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\056.JPEG,,,0,3226.0000000000,4.455805971739601,2.227581574897305,87.2857,1.2857
056.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\056.JPEG,,,1,3221.0000000000,0.000000000000000,0.000000000000000,93.0000,0.0000
056.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\056.JPEG,,,2,298.0000000000,0.000000000000000,0.000000000000000,79.0000,0.0000
056.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\056.JPEG,,,3,217.5000000000,3.395751591937973,1.862490570674312,70.7500,0.5000
058.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\058.JPEG,,,0,13243.0000000000,0.000000000000000,0.000000000000000,193.0000,0.0000
058.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\058.JPEG,,,1,12860.0000000000,4.828427124746190,0.828427124746190,199.5000,0.5000
058.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\058.JPEG,,,2,8714.5000000000,0.000000000000000,0.000000000000000,186.0000,0.0000
059.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\059.JPEG,,,0,8152.5000000000,4.576491222541474,1.748064097795284,46.5000,0.5000
059.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\059.JPEG,,,1,8146.0000000000,0.000000000000000,0.000000000000000,47.0000,0.0000
059.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\059.JPEG,,,2,2261.5000000000,2.309401076758503,1.333333333333333,80.3333,0.6667
059.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\059.JPEG,,,3,1926.5000000000,2.000000000000000,0.000000000000000,81.5000,0.0000
064.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\064.JPEG,,,0,46387.5000000000,3.265986323710904,0.000000000000000,226.0000,1.0000
064.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\064.JPEG,,,1,46360.0000000000,11.869068363805271,2.085051173841804,228.0833,4.0000
064.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\064.JPEG,,,2,7657.5000000000,3.265986323710904,0.000000000000000,178.0000,1.0000
065.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\065.JPEG,,,0,10161.5000000000,3.098386676965933,1.788854381999832,16.4000,0.8000
065.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\065.JPEG,,,1,10060.5000000000,0.000000000000000,0.000000000000000,18.0000,0.0000
065.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\065.JPEG,,,2,5242.0000000000,0.000000000000000,0.000000000000000,12.0000,0.0000
065.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\065.JPEG,,,3,4978.5000000000,4.472135954999580,0.000000000000000,14.0000,1.5000
067.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\067.JPEG,,,0,53675.0000000000,17.663521732655695,2.783882181415011,23.5000,1.6250
067.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\067.JPEG,,,1,53514.0000000000,13.808210118138652,2.000000000000000,23.5000,0.5000
067.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\067.JPEG,,,2,7411.5000000000,9.247200273653073,2.478630284371765,577.3333,2.2222
067.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\067.JPEG,,,3,7262.5000000000,19.789424036552578,2.379631677129681,583.4444,1.1667
068.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\068.JPEG,,,0,18108.5000000000,12.157663531012485,4.308853381897443,230.5625,12.8125
068.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\068.JPEG,,,1,18079.5000000000,17.543072833096467,5.257893101169912,400.4706,16.8529
068.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\068.JPEG,,,2,9876.5000000000,7.878499546778837,6.918579687436263,511.4375,9.0000
068.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\068.JPEG,,,3,9783.5000000000,18.147154870256138,6.127878390742522,707.2889,14.1778
073.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\073.JPEG,,,0,4674.5000000000,2.000000000000000,0.000000000000000,0.0000,0.5000
073.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\073.JPEG,,,1,4297.5000000000,3.677088528342677,0.837402040213009,0.6667,1.0000
073.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\073.JPEG,,,2,1578.0000000000,2.309401076758503,1.333333333333333,626.6667,0.6667
073.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\073.JPEG,,,3,1553.0000000000,4.199929796800163,1.166443184192932,628.2500,1.0000
074.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\074.JPEG,,,0,66602.5000000000,7.554371880072024,1.975317619716008,39.4615,2.7692
074.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\074.JPEG,,,1,66202.5000000000,15.799944236142363,5.647180803169014,86.3333,2.4000
074.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\074.JPEG,,,2,7066.5000000000,20.055478608655097,2.666666666666667,631.5000,1.6667
074.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\074.JPEG,,,3,7006.5000000000,16.124515496597098,2.000000000000000,631.5000,0.5000
074.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\074.JPEG,,,4,5763.0000000000,23.013687660466239,5.516910001892667,8.1364,9.5000
075.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\075.JPEG,,,0,15306.0000000000,0.000000000000000,0.000000000000000,31.0000,0.0000
075.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\075.JPEG,,,1,15282.0000000000,2.000000000000000,0.000000000000000,32.5000,0.0000
075.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\075.JPEG,,,2,8844.5000000000,0.000000000000000,0.000000000000000,70.0000,0.0000
075.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\075.JPEG,,,3,8772.5000000000,0.000000000000000,0.000000000000000,71.0000,0.0000
075.JPEG,..\data_EP3\selectedData\origin\augmentedDataset\exponencial\075.JPEG,,,4,8126.5000000000,0.000000000000000,0.000000000000000,28.0000,0.0000
